stroke_index,,num_stroke,pinyin,pinyin_tone,pinyin_tone_stroke
19968,一,1,yi,yi1,yi101
20008,丨,1,shu,shu4,shu401
20101,亅,1,jue,jue2,jue201
20031,丿,1,pie,pie3,pie301
20022,丶,1,zhu,zhu3,zhu301
20032,乀,1,fu,fu2,fu201
20033,乁,1,yi,yi2,yi201
20057,乙,1,yi,yi3,yi301
20058,乚,1,yin,yin3,yin301
20059,乛,1,zzzzzz,zzzzzz5,zzzzzz599
20108,二,2,er,er4,er402
19969,丁,2,ding,ding1,ding102
19973,丅,2,xia,xia4,xia402
21313,十,2,shi,shi2,shi202
19974,丆,2,zzzzzz,zzzzzz5,zzzzzz599
21378,厂,2,chang,chang3,chang302
19970,丂,2,kao,kao3,kao302
19971,七,2,qi,qi1,qi102
21274,匚,2,fang,fang1,fang102
21304,匸,2,xi,xi4,xi402
19972,丄,2,shang,shang4,shang402
20994,刂,2,dao,dao1,dao102
21340,卜,2,bu,bu3,bu302
20866,冂,2,jiong,jiong1,jiong102
20155,亻,2,ren,ren2,ren202
20034,乂,2,yi,yi4,yi402
20154,人,2,ren,ren2,ren202
20837,入,2,ru,ru4,ru402
20843,八,2,ba,ba1,ba102
20061,九,2,jiu,jiu3,jiu302
20799,儿,2,er,er2,er202
20960,几,2,ji,ji3,ji302
21241,勹,2,bao,bao1,bao102
21269,匕,2,bi,bi3,bi302
20128,亠,2,tou,tou2,tou202
20907,冫,2,bing,bing1,bing102
20023,丷,2,zzzzzz,zzzzzz5,zzzzzz599
20886,冖,2,mi,mi4,mi402
35744,讠,2,yan,yan2,yan202
20993,刁,2,diao,diao1,diao102
20009,丩,2,jiu,jiu1,jiu102
20102,了,2,le,le5,le502
20981,凵,2,qu,qu1,qu102
21353,卩,2,jie,jie2,jie202
38429,阝,2,fu,fu4,fu402
20035,乃,2,nai,nai3,nai302
20992,刀,2,dao,dao1,dao102
21147,力,2,li,li4,li402
20036,乄,2,zzzzzz,zzzzzz5,zzzzzz599
21430,厶,2,si,si1,si102
21448,又,2,you,you4,you402
24308,廴,2,yin,yin3,yin302
20060,乜,2,mie,mie1,mie102
24028,巜,2,gui,gui4,gui402
19977,三,3,san,san1,san103
20109,亍,3,chu,chu4,chu403
20110,于,3,yu,yu2,yu203
24178,干,3,gan,gan1,gan103
20111,亏,3,kui,kui1,kui103
20112,亐,3,yu,yu2,yu203
22303,土,3,tu,tu3,tu303
22763,士,3,shi,shi4,shi403
24037,工,3,gong,gong1,gong103
25164,扌,4,shou,shou3,shou304
21316,卄,3,nian,nian4,nian403
33401,艹,3,cao,cao3,cao303
25165,才,3,cai,cai2,cai203
19979,下,3,xia,xia4,xia403
23544,寸,3,cun,cun4,cun403
19980,丌,3,ji,ji1,ji103
24318,廾,3,gong,gong3,gong303
19976,丈,3,zhang,zhang4,zhang403
22823,大,3,da,da4,da403
20800,兀,3,wu,wu4,wu403
23586,尢,3,wang,wang1,wang103
19982,与,4,yu,yu3,yu304
19975,万,3,wan,wan4,wan403
22824,夨,4,ze,ze4,ze404
24331,弋,3,yi,yi4,yi403
19978,上,3,shang,shang4,shang403
23567,小,3,xiao,xiao3,xiao303
20963,凣,3,fan,fan2,fan203
21475,口,3,kou,kou3,kou303
22231,囗,3,wei,wei2,wei203
23665,山,3,shan,shan1,shan103
24062,巾,3,jin,jin1,jin103
21315,千,3,qian,qian1,qian103
20039,乇,3,tuo,tuo1,tuo103
20062,乞,3,qi,qi3,qi303
24029,川,3,chuan,chuan1,chuan103
20159,亿,3,yi,yi4,yi403
24435,彳,3,chi,chi4,chi403
24417,彡,3,shan,shan1,shan103
20962,凢,3,fan,fan2,fan203
20156,亼,3,ji,ji2,ji203
20010,个,3,ge,ge4,ge403
20042,乊,3,zzzzzz,zzzzzz5,zzzzzz599
20157,亽,3,zzzzzz,zzzzzz5,zzzzzz599
20158,亾,3,wang,wang2,wang203
20838,兦,3,wang,wang2,wang203
20103,亇,3,zzzzzz,zzzzzz5,zzzzzz599
29357,犭,3,quan,quan3,quan303
20024,丸,3,wan,wan2,wan203
20037,久,3,jiu,jiu3,jiu303
20040,么,3,me,me5,me503
20961,凡,3,fan,fan2,fan203
21242,勺,3,shao,shao2,shao203
21450,及,4,ji,ji2,ji204
22786,夂,3,zhi,zhi3,zhi303
22794,夊,3,sui,sui1,sui103
22805,夕,3,xi,xi1,xi103
39267,饣,3,shi,shi2,shi203
20012,丬,3,qiang,qiang2,qiang203
24191,广,3,guang,guang3,guang303
20129,亡,3,wang,wang2,wang203
38376,门,3,men,men2,men203
20011,丫,3,ya,ya1,ya103
20041,义,3,yi,yi4,yi403
27701,氵,3,shui,shui3,shui303
24516,忄,3,xin,xin1,xin103
23424,宀,3,mian,mian2,mian203
20043,之,4,zhi,zhi1,zhi104
36790,辶,3,chuo,chuo4,chuo403
24400,彐,3,ji,ji4,ji403
21314,卂,3,xin,xin4,xin403
23608,尸,3,shi,shi1,shi103
24049,己,3,ji,ji3,ji303
24050,已,3,yi,yi3,yi303
24051,巳,3,si,si4,si403
24339,弓,3,gong,gong1,gong103
21355,卫,3,wei,wei4,wei403
23376,子,3,zi,zi5,zi503
23377,孑,3,jie,jie2,jie203
23378,孒,3,jue,jue2,jue203
23662,屮,3,che,che4,che403
21354,卪,3,jie,jie2,jie203
23379,孓,3,jue,jue2,jue203
20063,也,3,ye,ye3,ye303
22899,女,3,nv,nv3,nv303
20038,乆,3,jiu,jiu3,jiu303
20995,刃,3,ren,ren4,ren403
20996,刄,3,ren,ren4,ren403
39134,飞,3,fei,fei1,fei103
21148,劜,3,ya,ya4,ya403
20064,习,3,xi,xi2,xi203
21449,叉,3,cha,cha1,cha103
24401,彑,3,ji,ji4,ji403
32415,纟,3,mi,mi4,mi403
39532,马,3,ma,ma3,ma303
20065,乡,3,xiang,xiang1,xiang103
24186,幺,3,yao,yao1,yao103
24027,巛,3,chuan,chuan1,chuan103
20118,亖,4,si,si4,si404
20016,丰,4,feng,feng1,feng104
29579,王,4,wang,wang2,wang204
20115,亓,4,qi,qi2,qi204
20117,井,4,jing,jing3,jing304
24320,开,4,kai,kai1,kai104
22825,天,4,tian,tian1,tian104
22827,夫,4,fu,fu1,fu104
20803,元,4,yuan,yuan2,yuan204
26080,无,4,wu,wu2,wu204
38886,韦,4,wei,wei2,wei204
19987,专,4,zhuan,zhuan1,zhuan104
20113,云,4,yun,yun2,yun204
24332,弌,4,yi,yi1,yi104
32770,耂,4,zzzzzz,zzzzzz5,zzzzzz599
22305,圡,4,tu,tu3,tu304
19984,丐,4,gai,gai4,gai404
22304,圠,4,ya,ya4,ya404
25166,扎,4,zha,zha1,zha104
24319,廿,4,nian,nian4,nian404
33402,艺,4,yi,yi4,yi404
26408,木,4,mu,mu4,mu404
26409,朩,4,deng,deng3,deng304
20068,乤,4,zzzzzz,zzzzzz5,zzzzzz599
20116,五,4,wu,wu3,wu304
24063,巿,4,fu,fu2,fu204
24064,帀,4,za,za1,za104
37010,邒,4,ting,ting2,ting204
25903,支,4,zhi,zhi1,zhi104
19983,丏,4,mian,mian3,mian304
21381,厅,4,ting,ting1,ting104
21317,卅,4,sa,sa4,sa404
19981,不,4,bu,bu4,bu404
20871,冇,4,mao,mao3,mao304
20164,仄,4,ze,ze4,ze404
22826,太,4,tai,tai4,tai404
29356,犬,4,quan,quan3,quan304
21306,区,4,qu,qu1,qu104
21382,历,4,li,li4,li404
21431,厷,4,si,si1,si104
21451,友,4,you,you3,you304
23588,尤,4,you,you2,you204
27513,歹,4,dai,dai3,dai304
21305,匹,4,pi,pi3,pi304
21380,厄,4,e,e4,e404
36791,辷,4,zzzzzz,zzzzzz5,zzzzzz599
36710,车,4,che,che1,che104
25144,戸,4,hu,hu4,hu404
24040,巨,5,ju,ju4,ju405
29273,牙,4,ya,ya2,ya204
23663,屯,4,tun,tun2,tun204
25096,戈,4,ge,ge1,ge104
20802,兂,4,zan,zan1,zan104
26081,旡,4,ji,ji4,ji404
27604,比,4,bi,bi3,bi304
20114,互,4,hu,hu4,hu404
20999,切,4,qie,qie4,qie404
29926,瓦,4,wa,wa3,wa304
21341,卝,4,kuang,kuang4,kuang404
27490,止,4,zhi,zhi3,zhi304
25908,攴,4,po,po1,po104
23569,少,4,shao,shao3,shao304
23568,尐,4,ji,ji1,ji104
20867,冃,4,mao,mao4,mao404
20868,冄,4,ran,ran3,ran304
26085,日,4,ri,ri4,ri404
26352,曰,4,yue,yue1,yue104
20013,中,4,zhong,zhong1,zhong104
20870,円,4,yuan,yuan2,yuan204
20066,乢,4,gai,gai4,gai404
20839,內,4,nei,nei4,nei404
